,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
353,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum - 30 ml']),0.0336529054979,0.0157829518033,0.00123915737299,0.0368217054264,2.33300499712,0.000708015187471,1.02184305205
354,frozenset(['Resist Super Antioxidant Concentrate Serum - 30 ml']),frozenset(['Resist Advanced Replenishing Toner - 118 ml']),0.00958716493837,0.0181308289311,0.00104350094567,0.108843537415,6.00323006901,0.000869677698241,1.10179212326
355,frozenset(['Resist Advanced Replenishing Toner - 118 ml']),frozenset(['Resist Super Antioxidant Concentrate Serum - 30 ml']),0.0181308289311,0.00958716493837,0.00104350094567,0.0575539568345,6.00323006901,0.000869677698241,1.05089606163
356,frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Gel - 100 ml']),0.0296093393335,0.022435270332,0.00104350094567,0.0352422907489,1.57084315132,0.000379207413376,1.01327485678
357,frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Gel - 100 ml']),frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),0.022435270332,0.0296093393335,0.00104350094567,0.046511627907,1.57084315132,0.000379207413376,1.01772679046
358,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 30 ml']),0.0488488880193,0.0198265179678,0.00176090784582,0.0360480640854,1.81817423231,0.000792404489802,1.01682816903
359,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 30 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0198265179678,0.0488488880193,0.00176090784582,0.0888157894737,1.81817423231,0.000792404489802,1.04386259221
360,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),0.0488488880193,0.0304571838518,0.00215222070045,0.0440587449933,1.44657973658,0.000664421137089,1.01422844874
361,frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0304571838518,0.0488488880193,0.00215222070045,0.0706638115632,1.44657973658,0.000664421137089,1.02347366197
362,frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),0.0329354985978,0.0304571838518,0.00254353355508,0.0772277227723,2.53561600271,0.00154041101903,1.05068481149
363,frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),0.0304571838518,0.0329354985978,0.00254353355508,0.0835117773019,2.53561600271,0.00154041101903,1.05518486485
